title,text,subject,date
True Title 47,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 48,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 49,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 50,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 51,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 52,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 53,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 54,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 55,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 56,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 57,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 58,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 59,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 60,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 61,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 62,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 63,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 64,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 65,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 66,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 67,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 68,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 69,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 70,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 71,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 72,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 73,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 74,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 75,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 76,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 77,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 78,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 79,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 80,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 81,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 82,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 83,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 84,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 85,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 86,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 87,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 88,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 89,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 90,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 91,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 92,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 93,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 94,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
True Title 95,The stock market saw huge gains today following the tech earnings reports.,politicsNews,"January 1, 2024"
True Title 96,The city council voted to approve the new infrastructure budget.,politicsNews,"January 1, 2024"
True Title 97,Scientists discover a new species of frog in the Amazon rainforest.,politicsNews,"January 1, 2024"
True Title 98,The local sports team won the championship game last night.,politicsNews,"January 1, 2024"
True Title 99,The president announced a new policy regarding international trade.,politicsNews,"January 1, 2024"
